schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date,source_name,arxiv_id,github_forks,github_watchers
1.0,RESEARCH_PAPER,Struc2mapGAN: improving synthetic cryo-EM density maps with generative adversarial networks,,https://arxiv.org/abs/2407.17674v2,https://github.com/chenwei-zhang/struc2mapGAN,8,,Papers With Code / arXiv,2407.17674,1,8
1.0,RESEARCH_PAPER,RHLE: Modular Deductive Verification of Relational $\forall\exists$ Properties,,https://arxiv.org/abs/2002.02904v5,https://github.com/rcdickerson/rhle-benchmarks,0,,Papers With Code / arXiv,2002.02904,0,0
1.0,RESEARCH_PAPER,Efficient mapping of phase diagrams with conditional Boltzmann Generators,,https://arxiv.org/abs/2406.12378v2,https://github.com/maxschebek/flow_diagrams,8,,Papers With Code / arXiv,2406.12378,6,8
1.0,RESEARCH_PAPER,When to Extract ReID Features: A Selective Approach for Improved Multiple Object Tracking,,https://arxiv.org/abs/2409.06617v2,https://github.com/emirhanbayar/Fast-StrongSORT,16,,Papers With Code / arXiv,2409.06617,1,16
1.0,RESEARCH_PAPER,On Kemeny's constant and stochastic complement,,https://arxiv.org/abs/2312.13201v2,https://github.com/Cirdans-Home/Kemeny-and-Conquer,0,,Papers With Code / arXiv,2312.13201,0,0
1.0,RESEARCH_PAPER,Integrating Graph Neural Networks and Many-Body Expansion Theory for Potential Energy Surfaces,,https://arxiv.org/abs/2411.01578v1,https://github.com/Lin-Group-at-UMass/FBGNN-MBE,3,,Papers With Code / arXiv,2411.01578,2,3
1.0,RESEARCH_PAPER,Optimal Regret Is Achievable with Bounded Approximate Inference Error: An Enhanced Bayesian Upper Confidence Bound Framework,,https://arxiv.org/abs/2201.12955v4,https://github.com/HZ0000/EBUCB,1,,Papers With Code / arXiv,2201.12955,0,1
1.0,RESEARCH_PAPER,A Double Machine Learning Approach for the Evaluation of COVID-19 Vaccine Effectiveness under the Test-Negative Design: Analysis of Québec Administrative Data,,https://arxiv.org/abs/2310.04578v2,https://github.com/CONGJIANG/TNDDR,0,,Papers With Code / arXiv,2310.04578,0,0
1.0,RESEARCH_PAPER,"BGE M3-Embedding: Multi-Lingual, Multi-Functionality, Multi-Granularity Text Embeddings Through Self-Knowledge Distillation",,https://arxiv.org/abs/2402.03216v4,https://github.com/FlagOpen/FlagEmbedding,12153,,Papers With Code / arXiv,2402.03216,915,12153
1.0,RESEARCH_PAPER,The classification of smooth well-formed Fano weighted complete intersections,,https://arxiv.org/abs/2006.05666v5,https://github.com/MikhailOvcharenko/fano-WCI,0,,Papers With Code / arXiv,2006.05666,0,0
1.0,RESEARCH_PAPER,EGVD: Event-Guided Video Deraining,,https://arxiv.org/abs/2309.17239v1,https://github.com/booker-max/EGVD,8,,Papers With Code / arXiv,2309.17239,1,8
1.0,RESEARCH_PAPER,An efficient framework based on large foundation model for cervical cytopathology whole slide image screening,,https://arxiv.org/abs/2407.11486v1,https://github.com/CVIU-CSU/TCT-InfoNCE,6,,Papers With Code / arXiv,2407.11486,2,6
1.0,RESEARCH_PAPER,VEXIR2Vec: An Architecture-Neutral Embedding Framework for Binary Similarity,,https://arxiv.org/abs/2312.00507v2,https://github.com/SystemSecurityStorm/Awesome-Binary-Similarity,616,,Papers With Code / arXiv,2312.00507,82,616
1.0,RESEARCH_PAPER,Bayesian Parameter-Efficient Fine-Tuning for Overcoming Catastrophic Forgetting,,https://arxiv.org/abs/2402.12220v3,https://github.com/idiap/bayesian-peft,3,,Papers With Code / arXiv,2402.12220,0,3
1.0,RESEARCH_PAPER,Generalized Measures of Anticipation and Responsivity in Online Language Processing,,https://arxiv.org/abs/2409.10728v2,https://github.com/rycolab/generalized-surprisal,2,,Papers With Code / arXiv,2409.10728,1,2
1.0,RESEARCH_PAPER,Feature Re-Embedding: Towards Foundation Model-Level Performance in Computational Pathology,,https://arxiv.org/abs/2402.17228v4,https://github.com/DearCaat/RRT-MIL,140,,Papers With Code / arXiv,2402.17228,13,140
1.0,RESEARCH_PAPER,Self-Supervised Diffusion MRI Denoising via Iterative and Stable Refinement,,https://arxiv.org/abs/2501.13514v3,https://github.com/FouierL/Di-Fusion,30,,Papers With Code / arXiv,2501.13514,0,30
1.0,RESEARCH_PAPER,Sum-of-Parts: Faithful Attributions for Groups of Features,,https://arxiv.org/abs/2310.16316v2,https://github.com/BrachioLab/sop,5,,Papers With Code / arXiv,2310.16316,1,5
1.0,RESEARCH_PAPER,CoVoMix: Advancing Zero-Shot Speech Generation for Human-like Multi-talker Conversations,,https://arxiv.org/abs/2404.06690v3,https://github.com/vivian556123/NeurIPS2024-CoVoMix,67,,Papers With Code / arXiv,2404.06690,3,67
1.0,RESEARCH_PAPER,Less is More: A Simple yet Effective Token Reduction Method for Efficient Multi-modal LLMs,,https://arxiv.org/abs/2409.10994v3,https://github.com/FreedomIntelligence/TRIM,22,,Papers With Code / arXiv,2409.10994,1,22
1.0,RESEARCH_PAPER,Experience and Evidence are the eyes of an excellent summarizer! Towards Knowledge Infused Multi-modal Clinical Conversation Summarization,,https://arxiv.org/abs/2309.15739v1,https://github.com/NLP-RL/MM-CliConSummation,2,,Papers With Code / arXiv,2309.15739,1,2
1.0,RESEARCH_PAPER,Unraveling Cross-Modality Knowledge Conflicts in Large Vision-Language Models,,https://arxiv.org/abs/2410.03659v2,https://github.com/luka-group/vlm-knowledge-conflict,55,,Papers With Code / arXiv,2410.03659,4,55
1.0,RESEARCH_PAPER,A Simple Image Segmentation Framework via In-Context Examples,,https://arxiv.org/abs/2410.04842v2,https://github.com/aim-uofa/SINE,68,,Papers With Code / arXiv,2410.04842,5,68
1.0,RESEARCH_PAPER,StreamGen: Connecting Populations of Streams and Shells to Their Host Galaxies,,https://arxiv.org/abs/2409.13810v1,https://github.com/adropulic/StreamGen,0,,Papers With Code / arXiv,2409.13810,1,0
1.0,RESEARCH_PAPER,Scaling Up Your Kernels: Large Kernel Design in ConvNets towards Universal Representations,,https://arxiv.org/abs/2410.08049v1,https://github.com/AILab-CVC/UniRepLKNet,1073,,Papers With Code / arXiv,2410.08049,63,1073
1.0,RESEARCH_PAPER,Optimal-state Dynamics Estimation for Physics-based Human Motion Capture from Videos,,https://arxiv.org/abs/2410.07795v4,https://github.com/cuongle1206/OSDCap,23,,Papers With Code / arXiv,2410.07795,2,23
1.0,RESEARCH_PAPER,MEMSDuino: An Arduino-Based MEMS Switch Controller,,https://arxiv.org/abs/2501.03340v1,https://github.com/lafefspietz/MEMSduino,0,,Papers With Code / arXiv,2501.03340,0,0
1.0,RESEARCH_PAPER,Aligning Few-Step Diffusion Models with Dense Reward Difference Learning,,https://arxiv.org/abs/2411.11727v1,https://github.com/ZiyiZhang27/sdpo,22,,Papers With Code / arXiv,2411.11727,0,22
1.0,RESEARCH_PAPER,Extreme values of the mass distribution associated with $d$-quasi-copulas via linear programming,,https://arxiv.org/abs/2410.19339v2,https://gitlab.com/mrcinv/quasicopula.jl,,,Papers With Code / arXiv,2410.19339,,
1.0,RESEARCH_PAPER,Physics-informed Neural Networks for Functional Differential Equations: Cylindrical Approximation and Its Convergence Guarantees,,https://arxiv.org/abs/2410.18153v1,https://github.com/TaikiMiyagawa/FunctionalPINN,12,,Papers With Code / arXiv,2410.18153,2,12
1.0,RESEARCH_PAPER,A Survey of Medical Vision-and-Language Applications and Their Techniques,,https://arxiv.org/abs/2411.12195v1,https://github.com/YtongXie/Medical-Vision-and-Language-Tasks-and-Methodologies-A-Survey,32,,Papers With Code / arXiv,2411.12195,1,32
1.0,RESEARCH_PAPER,Multi-Type Preference Learning: Empowering Preference-Based Reinforcement Learning with Equal Preferences,,https://arxiv.org/abs/2409.07268v2,https://github.com/FeiCuiLengMMbb/paper_MTPL,7,,Papers With Code / arXiv,2409.07268,0,7
1.0,RESEARCH_PAPER,Denial-of-Service Poisoning Attacks against Large Language Models,,https://arxiv.org/abs/2410.10760v1,https://github.com/sail-sg/P-DoS,23,,Papers With Code / arXiv,2410.10760,3,23
1.0,RESEARCH_PAPER,AR-TTA: A Simple Method for Real-World Continual Test-Time Adaptation,,https://arxiv.org/abs/2309.10109v2,https://github.com/dmn-sjk/AR-TTA,0,,Papers With Code / arXiv,2309.10109,0,0
1.0,RESEARCH_PAPER,V2M: Visual 2-Dimensional Mamba for Image Representation Learning,,https://arxiv.org/abs/2410.10382v1,https://github.com/wangck20/V2M,27,,Papers With Code / arXiv,2410.10382,2,27
1.0,RESEARCH_PAPER,Geometry-Informed Neural Networks,,https://arxiv.org/abs/2402.14009v3,https://github.com/ml-jku/GINNs-Geometry-informed-Neural-Networks,192,,Papers With Code / arXiv,2402.14009,27,192
1.0,RESEARCH_PAPER,A Quick Primer on Machine Learning in Wireless Communications,,https://arxiv.org/abs/2312.17713v6,https://github.com/farismismar/deepwireless,20,,Papers With Code / arXiv,2312.17713,6,20
1.0,RESEARCH_PAPER,Subjective and Objective Analysis of Indian Social Media Video Quality,,https://arxiv.org/abs/2401.02794v1,https://github.com/sandeep-sm/LIVE-SC,0,,Papers With Code / arXiv,2401.02794,0,0
1.0,RESEARCH_PAPER,TOPA: Extending Large Language Models for Video Understanding via Text-Only Pre-Alignment,,https://arxiv.org/abs/2405.13911v2,https://github.com/dhg-wei/TOPA,29,,Papers With Code / arXiv,2405.13911,2,29
1.0,RESEARCH_PAPER,Unsupervised Homography Estimation on Multimodal Image Pair via Alternating Optimization,,https://arxiv.org/abs/2411.13036v1,https://github.com/songsang7/AltO,15,,Papers With Code / arXiv,2411.13036,0,15
1.0,RESEARCH_PAPER,ViSTa Dataset: Do vision-language models understand sequential tasks?,,https://arxiv.org/abs/2411.13211v2,https://github.com/Eugleo/vista-dataset,2,,Papers With Code / arXiv,2411.13211,0,2
1.0,RESEARCH_PAPER,Gaze-Guided Learning: Avoiding Shortcut Bias in Visual Classification,,https://arxiv.org/abs/2504.05583v1,https://github.com/rekkles2/Gaze-CIFAR-10,6,,Papers With Code / arXiv,2504.05583,0,6
