input_name,canonical_name,match_type,score
Vortexify,,NO_MATCH,0.0
Vespper,,NO_MATCH,0.0
attimet,,NO_MATCH,0.0
Keye,,NO_MATCH,0.0
Freebuff,,NO_MATCH,0.0
Pearson Labs,,NO_MATCH,0.0
vly.ai,,NO_MATCH,0.0
AutoComputer,,NO_MATCH,0.0
Abundant,,NO_MATCH,0.0
Moonshine,,NO_MATCH,0.0
Consus,,NO_MATCH,0.0
Innate,,NO_MATCH,0.0
Gander,,NO_MATCH,0.0
Diffusion Studio,,NO_MATCH,0.0
Struct,,NO_MATCH,0.0
Melder,,NO_MATCH,0.0
HumanLayer,,NO_MATCH,0.0
Quantstruct,,NO_MATCH,0.0
Edexia,,NO_MATCH,0.0
Outship,,NO_MATCH,0.0
Candor,,NO_MATCH,0.0
Vetnio,,NO_MATCH,0.0
Leaping AI,,NO_MATCH,0.0
Tweeks.io,,NO_MATCH,0.0
Praxim,,NO_MATCH,0.0
Alice.tech,,NO_MATCH,0.0
Dartboard,,NO_MATCH,0.0
Vocality Health,,NO_MATCH,0.0
Scout,,NO_MATCH,0.0
Promptless,,NO_MATCH,0.0
Truffle AI,,NO_MATCH,0.0
Toothy AI,,NO_MATCH,0.0
a0.dev,,NO_MATCH,0.0
Elip AI,,NO_MATCH,0.0
Caseflood.ai,,NO_MATCH,0.0
Maive,,NO_MATCH,0.0
Adam,,NO_MATCH,0.0
Swerve,,NO_MATCH,0.0
Osmosis,,NO_MATCH,0.0
Mecha Health,,NO_MATCH,0.0
Cuckoo Labs,,NO_MATCH,0.0
HUD,,NO_MATCH,0.0
Gale,,NO_MATCH,0.0
Asteroid,,NO_MATCH,0.0
Pickle,,NO_MATCH,0.0
Harbera,,NO_MATCH,0.0
Lopus,,NO_MATCH,0.0
Mundo AI,,NO_MATCH,0.0
Lucidic AI,,NO_MATCH,0.0
Trata,,NO_MATCH,0.0
Exla,,NO_MATCH,0.0
Outlit,,NO_MATCH,0.0
Sennu AI,,NO_MATCH,0.0
Artificial Societies,,NO_MATCH,0.0
AfterQuery,,NO_MATCH,0.0
Mastra,,NO_MATCH,0.0
Proception Inc,,NO_MATCH,0.0
Woz,,NO_MATCH,0.0
Spott,,NO_MATCH,0.0
CopyCat,,NO_MATCH,0.0
TamLabs,,NO_MATCH,0.0
Codevisor,,NO_MATCH,0.0
Dex,,NO_MATCH,0.0
Mentra,,NO_MATCH,0.0
